date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:01	9724/9724	---M--	200	added ('OK')	image/png	etag:%2225fc-575333bc37380%22	https://davur.dexignzone.com/welcome/images/icons/30.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/30.png	(from https://davur.dexignzone.com/)
20:18:01	92567/92567	---M--	200	added ('OK')	image/png	etag:%2216997-5b129253bba00%22	https://davur.dexignzone.com/welcome/images/wave/wave1.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/wave/wave1.png	(from https://davur.dexignzone.com/)
20:18:01	38176/38176	---M--	200	added ('OK')	image/png	etag:%229520-5b129253bba00%22	https://davur.dexignzone.com/welcome/images/wave/wave2.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/wave/wave2.png	(from https://davur.dexignzone.com/)
20:18:01	17399/17399	---M--	200	added ('OK')	image/png	etag:%2243f7-5b129253bba00%22	https://davur.dexignzone.com/welcome/images/wave/wave3.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/wave/wave3.png	(from https://davur.dexignzone.com/)
20:18:02	82521/82521	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2017:13:24%20GMT	https://davur.dexignzone.com/dashboard/index.html	G:/Templates/kiot-student-cafe/davur.dexignzone.com/dashboard/index.html	(from https://davur.dexignzone.com/)
20:18:02	58240/58240	---M--	200	added ('OK')	image/jpeg	etag:%22e380-5b129214ca580%22	https://davur.dexignzone.com/welcome/images/demo/index.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/demo/index.jpg	(from https://davur.dexignzone.com/)
20:18:02	50134/50134	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2018:51:36%20GMT	https://davur.dexignzone.com/frontend/front-home.html	G:/Templates/kiot-student-cafe/davur.dexignzone.com/frontend/front-home.html	(from https://davur.dexignzone.com/)
20:18:02	257437/257437	---M--	200	added ('OK')	image/jpeg	etag:%223ed9d-5c9c454fa0e00%22	https://davur.dexignzone.com/welcome/images/demo/front.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/demo/front.jpg	(from https://davur.dexignzone.com/)
20:18:03	63236/63236	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2017:12:46%20GMT	https://davur.dexignzone.com/dashboard/page-order.html	G:/Templates/kiot-student-cafe/davur.dexignzone.com/dashboard/page-order.html	(from https://davur.dexignzone.com/)
20:18:03	58262/58262	---M--	200	added ('OK')	image/jpeg	etag:%22e396-5b129214ca580%22	https://davur.dexignzone.com/welcome/images/demo/page-order.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/demo/page-order.jpg	(from https://davur.dexignzone.com/)
20:18:03	92476/92476	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2017:12:42%20GMT	https://davur.dexignzone.com/dashboard/page-order-list.html	G:/Templates/kiot-student-cafe/davur.dexignzone.com/dashboard/page-order-list.html	(from https://davur.dexignzone.com/)
20:18:03	49736/49736	---M--	200	added ('OK')	image/jpeg	etag:%22c248-5b129214ca580%22	https://davur.dexignzone.com/welcome/images/demo/page-order-list.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/demo/page-order-list.jpg	(from https://davur.dexignzone.com/)
20:18:04	75137/75137	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2017:12:36%20GMT	https://davur.dexignzone.com/dashboard/page-review.html	G:/Templates/kiot-student-cafe/davur.dexignzone.com/dashboard/page-review.html	(from https://davur.dexignzone.com/)
20:18:04	82048/82048	---M--	200	added ('OK')	image/jpeg	etag:%2214080-5b129214ca580%22	https://davur.dexignzone.com/welcome/images/demo/page-review.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/demo/page-review.jpg	(from https://davur.dexignzone.com/)
20:18:04	847/847	---M--	200	added ('OK')	image/png	etag:%2234f-5ab08247fda00%22	https://davur.dexignzone.com/welcome/images/support.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/support.png	(from https://davur.dexignzone.com/)
